Price,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,
2025-10-10,1193.0584716796875,1195.5450462350848,1178.0395856480416,1180.0288452923596,1110822
2025-10-13,1181.7197265625,1194.3515987849366,1175.5530699224173,1192.5612164495426,1062394
2025-10-14,1169.1873779296875,1187.8864675037457,1164.7115436458223,1183.708949323273,1293553
2025-10-15,1214.8409423828125,1218.4215856167714,1169.1874072591957,1169.1874072591957,2283392
2025-10-16,1269.7445068359375,1279.5913671349344,1209.9672740922251,1214.8409848881713,6927367
2025-10-17,1282.5751953125,1304.5564907785995,1254.5266820266756,1257.112695361256,3171952
2025-10-20,1278.4971923828125,1298.5886661411737,1273.9219195028143,1282.575150353794,1246633
2025-10-21,1280.3870849609375,1285.0617968013464,1270.4407862240848,1273.1262383171234,245138
2025-10-23,1265.9649658203125,1296.7984922462133,1263.9757060508996,1280.0886616172322,1751448
2025-10-24,1275.115478515625,1277.6020531617164,1252.636867997915,1267.5563158744628,1433533
2025-10-27,1276.110107421875,1285.260653546752,1268.9488210123866,1275.1154775641805,1107997
2025-10-28,1264.174560546875,1281.9784594433547,1256.913713954219,1276.9058714062562,1343829
2025-10-29,1266.163818359375,1274.1208572807222,1259.6987242357804,1268.153078089712,836932
2025-10-30,1273.0267333984375,1274.5186781313644,1260.8921767217676,1271.1369124537753,728703
2025-10-31,1264.7713623046875,1277.1047974036921,1262.7821024956475,1273.0268390781168,943037
2025-11-03,1259.8975830078125,1263.0804713781406,1248.757777248606,1262.7820338570928,847050
2025-11-04,1258.206787109375,1262.1853065943058,1243.9835313848357,1259.2014169806077,770668
2025-11-06,1259.30078125,1272.0320914151678,1253.3330023753474,1258.2067127392681,1171263
2025-11-07,1255.9190673828125,1264.0751050299518,1249.6529721549566,1257.2121347582056,596683
2025-11-10,1256.1180419921875,1266.3626564363824,1253.4324685907732,1256.3169193931333,737986
2025-11-11,1261.2901611328125,1263.3788596551337,1248.2605336304632,1261.1907224250417,729912
2025-11-12,1271.3358154296875,1279.9891679036207,1254.8249843360766,1263.1798992915108,824792
2025-11-13,1268.3519287109375,1282.3763066454585,1263.4783396063588,1273.1262005288309,691337
2025-11-14,1264.7713623046875,1272.1316478810922,1255.6208157490166,1268.3520056780028,675047
2025-11-17,1263.4783935546875,1271.1369951158424,1257.3116154086997,1265.1692157960497,774802
2025-11-18,1258.30615234375,1263.080424012819,1245.87327967927,1255.3222629042748,810387
2025-11-19,1272.131591796875,1273.1262216575449,1256.2175140261556,1261.091224626394,726287
2025-11-20,1272.3304443359375,1281.6799891264577,1268.3519249710162,1281.0832355046746,796864
2025-11-21,1273.8223876953125,1281.9784252332868,1266.163786492181,1268.1530461724517,673231
2025-11-24,1262.3841552734375,1278.8951078919692,1252.7362943079568,1278.099355447181,2636542
2025-11-25,1256.4163818359375,1264.075104553466,1244.0830687896535,1260.5939000677104,1065974
2025-11-26,1269.9434814453125,1275.8117006151708,1250.3491999281139,1250.3491999281139,810809
2025-11-27,1259.5992431640625,1272.6288696765455,1253.730902874002,1269.1476652655506,708607
2025-11-28,1254.32763671875,1262.8814288536962,1251.443185969294,1259.4997846109952,626947
2025-12-01,1253.830322265625,1257.2120879243255,1244.8786539180626,1253.830322265625,644563
2025-12-02,1252.1395263671875,1255.023977178099,1244.2819263701444,1244.2819263701444,911551
2025-12-03,1235.2308349609375,1251.2443512625023,1229.4619332651996,1250.249721412532,642993
2025-12-04,1235.7281494140625,1238.3141627400423,1226.577481948965,1235.2308344892674,664641
2025-12-05,1240.2039794921875,1242.2926778862227,1227.5721075967606,1230.8544346550846,911699
2025-12-08,1208.2763671875,1241.29802900868,1206.287107525627,1240.2039604776048,1534927
2025-12-09,1209.27099609375,1214.9403375598429,1200.816642537255,1208.375804963637,810028
2025-12-10,1202.805908203125,1215.2387811423998,1198.5289513461046,1209.271002131548,514862
2025-12-11,1208.4752197265625,1213.8462449860792,1199.3246740361055,1202.9053170708594,339626
2025-12-12,1231.650146484375,1233.340968601226,1208.8730994748335,1212.453742520076,841766
2025-12-15,1236.822265625,1241.2981001206274,1218.918927642491,1231.3518012414556,857798
2025-12-16,1233.937744140625,1257.2121064705827,1227.77108775391,1229.859786116199,1086329
2025-12-17,1227.969970703125,1234.7335021508634,1217.725356245691,1230.3571065914311,526222
2025-12-18,1226.8759765625,1237.2201517625622,1220.9081971872467,1228.0694838716379,707432
2025-12-19,1237.7174072265625,1239.5076681042303,1223.096275611005,1224.1904655757078,754446
2025-12-22,1250.4486083984375,1253.1341818628018,1233.3410234137705,1239.308802559321,880387
2025-12-23,1249.75244140625,1254.7255907950532,1244.3814157833865,1253.2336459784121,663261
2025-12-24,1252.9351806640625,1257.3115763121143,1241.198621215625,1244.381388187966,598956
2025-12-26,1265.7659912109375,1270.1423870703306,1244.6798858176567,1257.2121983217683,1433973
2025-12-29,1273.126220703125,1279.591314792633,1263.9756745577324,1268.1530714035034,888206
2025-12-30,1267.2579345703125,1282.0779444014315,1260.892278910964,1277.1047948886253,2043408
2025-12-31,1281.083251953125,1287.3494685992414,1263.577790805665,1267.357311402002,738631
2026-01-01,1288.045654296875,1292.0241736923865,1277.104725959218,1286.0563945991191,932297
2026-01-02,1272.8277587890625,1292.0241632836676,1270.7390604062011,1285.0617543976125,736473
2026-01-05,1307.5404052734375,1312.9114308644753,1271.6342911819938,1272.1316061179273,2397082
2026-01-06,1312.81201171875,1316.3926550278604,1291.4274691550181,1311.916820537777,866154
2026-01-07,1307.7393798828125,1325.5431571277572,1297.196206304414,1305.4516826539652,676669
2026-01-08,1299.8818359375,1308.0377525223769,1292.024235472685,1302.0699731437503,555817
2026-01-09,1292.1236572265625,1303.760899711072,1283.1719882760692,1299.8818188829023,1194489
2026-01-12,1305.352294921875,1310.9221980357322,1284.6639445963697,1286.0564507285294,1032516
2026-01-13,1311.618408203125,1314.8012967505322,1301.9705466828477,1305.3523126455,1316337
2026-01-14,1300.0806884765625,1321.0673546069077,1295.206977794309,1313.9060680554846,904110
2026-01-15,1300.0806884765625,1300.0806884765625,1300.0806884765625,1300.0806884765625,0
2026-01-16,1308.83349609375,1313.8066455420774,1298.2904435462522,1311.1210719911116,1491989
2026-01-19,1308.5350341796875,1313.2098674228805,1298.4892967641995,1298.9866116997662,867546
2026-01-20,1288.7418212890625,1310.0269239195488,1284.6638632717893,1307.9382255609235,1173676
2026-01-21,1276.3089599609375,1304.655910352938,1264.4729620167993,1291.9247212713608,1046054
2026-01-22,1298.986572265625,1304.9543513112558,1265.4675951919091,1278.9945367457171,994359
2026-01-23,1286.8521728515625,1304.8549491943372,1283.3709683106754,1302.9651281606143,744221
2026-01-27,1296.3011474609375,1306.9436384163773,1283.3709592574269,1293.0188203510581,1159495
2026-01-28,1285.4595947265625,1298.9865359016962,1266.1637520695706,1290.2337449805539,940426
2026-01-29,1280.9837646484375,1287.4488584541489,1255.5212656350518,1279.5912586227143,1151521
2026-01-30,1325.244873046875,1332.4061595988705,1276.1101328160523,1279.094022448514,5292100
2026-02-02,1301.2742919921875,1303.9597440432992,1267.059000588645,1290.5322409581852,1254558
2026-02-03,1300.975830078125,1333.2018611611804,1284.1665615074633,1322.857686547329,1232271
2026-02-04,1296.2015380859375,1320.8684062873333,1288.1450607943987,1306.5457125386122,875783
2026-02-05,1296.5,1303.5618476004356,1280.0886075949368,1297.7930673614608,854891
2026-02-06,1303.300048828125,1305.199951171875,1278.699951171875,1291.0999755859375,835646
2026-02-09,1295.5999755859375,1307.0,1290.300048828125,1301.0,746303
2026-02-10,1308.5999755859375,1310.300048828125,1296.5,1296.9000244140625,936331
2026-02-11,1305.300048828125,1324.9000244140625,1296.699951171875,1315.0,911500
2026-02-12,1305.5,1312.0999755859375,1295.0999755859375,1312.0999755859375,534672
2026-02-13,1282.5999755859375,1310.4000244140625,1278.0,1305.0,522586
2026-02-16,1289.800048828125,1295.5,1274.199951171875,1276.699951171875,456222
2026-02-17,1285.300048828125,1289.5999755859375,1278.0,1281.0,396198
2026-02-18,1300.9000244140625,1303.4000244140625,1278.0,1286.5999755859375,446022
2026-02-19,1278.5,1300.0,1271.9000244140625,1299.800048828125,659360
2026-02-20,1293.800048828125,1301.0,1276.4000244140625,1278.5,754146
2026-02-23,1315.0999755859375,1318.5,1295.5,1299.0,933582
2026-02-24,1320.0,1323.9000244140625,1305.5999755859375,1305.5999755859375,1120203
2026-02-25,1323.4000244140625,1334.800048828125,1315.0,1328.0,991399
2026-02-26,1318.0,1329.199951171875,1310.5999755859375,1329.199951171875,438946
2026-02-27,1291.699951171875,1322.9000244140625,1286.0,1311.0999755859375,1640870
2026-03-02,1279.699951171875,1288.0,1261.300048828125,1261.9000244140625,1161869
2026-03-04,1245.300048828125,1270.0,1240.0,1259.699951171875,1112032
2026-03-05,1250.9000244140625,1254.4000244140625,1222.699951171875,1249.5,935711
2026-03-06,1252.4000244140625,1264.0999755859375,1234.199951171875,1250.0,830769
2026-03-09,1235.800048828125,1242.5999755859375,1217.4000244140625,1227.0,1467475
2026-03-10,1241.199951171875,1249.5,1233.5,1236.9000244140625,1301806
2026-03-11,1233.699951171875,1245.9000244140625,1226.0999755859375,1237.0999755859375,1472136
2026-03-12,1220.800048828125,1229.9000244140625,1209.300048828125,1225.0,1358564
2026-03-13,1202.199951171875,1238.5999755859375,1200.5999755859375,1219.0,1681371
2026-03-16,1213.4000244140625,1219.300048828125,1196.5,1200.0,1100151
2026-03-17,1206.9000244140625,1225.0,1199.0999755859375,1213.4000244140625,1673011
2026-03-18,1204.800048828125,1213.300048828125,1199.9000244140625,1206.0,1144239
2026-03-19,1186.300048828125,1203.0,1177.699951171875,1193.0,826831
2026-03-20,1193.5999755859375,1204.0,1177.5999755859375,1204.0,1395157
2026-03-23,1166.800048828125,1189.0,1164.800048828125,1189.0,944890
2026-03-24,1183.199951171875,1195.0999755859375,1163.199951171875,1180.0,1001494
2026-03-25,1204.0999755859375,1217.800048828125,1180.0,1183.199951171875,1003662
2026-03-27,1193.199951171875,1215.699951171875,1188.300048828125,1204.0999755859375,2005121
2026-03-30,1174.800048828125,1194.4000244140625,1169.5999755859375,1185.0,1814954
2026-04-01,1180.800048828125,1191.5999755859375,1167.0999755859375,1174.800048828125,1836376
2026-04-02,1191.300048828125,1200.0,1159.4000244140625,1173.300048828125,1357820
2026-04-06,1216.0,1218.800048828125,1179.0,1190.0,1460974
2026-04-07,1222.800048828125,1225.4000244140625,1194.199951171875,1204.4000244140625,1434686
2026-04-08,1213.699951171875,1250.5999755859375,1209.300048828125,1238.0,1638620
2026-04-09,1228.699951171875,1230.0999755859375,1206.4000244140625,1209.5,1258634
2026-04-10,1249.300048828125,1252.300048828125,1229.0999755859375,1230.800048828125,1358310
